region_or_nation,job_family,occupation,medium_skilled,include_fe,include_he,demand_entry,demand_ticker,lq,lq_label,demand_entry_sl,demand_entry_fe,demand_entry_he,advertised_avg_salary_entry_hs,advertised_avg_salary_entry_degree,advertised_entry_salary_degree_premium,advertised_entry_salary_degree_premium_percentage,supply_fe,supply_he,fe_ds_ratio,he_ds_ratio,fe_ds_ratio_log,he_ds_ratio_log
GREATER LONDON,Associate Professional And Technical Occupations,Information Technology Technicians,1,1,0,21860,High,1.54920021293935,Very High,6816.67,4383.65,10054.55,30464.4601,38482.9697183184,8018.50961831842,0.263208656644416,2266,443,1.9342453662842,22.6975169300226,0.659717258830857,3.12225553216162
GREATER LONDON,Administrative And Secretarial Occupations,Secretarial and Related Occupations,1,1,0,20629,High,1.47131362984955,High,11512.62,4532.12,3945.95,22732.7052,26026.8058737075,3294.10067370753,0.144905792985321,3321,,1.36495031616983,,0.311118029564104,
GREATER LONDON,Elementary Occupations,Other Elementary Services Occupations,0,1,0,18835,High,1.18358077475771,Average,9110.34,7423.27,1861.91,21254.0125,22038.4099655172,784.397465517239,0.0369058532132339,3178,,2.33606041535557,,0.848465927369376,
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Caring Personal Services,1,1,0,18262,High,0.605798702085028,Very Low,5772.21,9853.21,2368.61,20600.0565,21400.7014842391,800.64498423913,0.0388661547719119,4589,52,2.14709086947047,45.5501923076923,0.76411384192764,3.81881484560029
GREATER LONDON,"Process, Plant And Machine Operatives",Road Transport Drivers,0,1,0,17682,High,0.805325955784003,Low,7841.81,5825.83,3120.08,22586.2561,23503.4902866397,917.234186639678,0.0406102801003695,655,,8.89465648854962,,2.18545070188413,
GREATER LONDON,Skilled Trades Occupations,Food Preparation and Hospitality Trades,1,1,1,17258,High,1.05918572345771,Average,6245.39,10630.79,327.92,,,,,3465,49,3.06839826839827,6.69224489795918,1.12115568876908,1.90094937808546
GREATER LONDON,Administrative And Secretarial Occupations,Administrative Occupations: Finance,1,1,0,17075,High,1.17052542683545,Average,8388.87,2186.87,5714.43,23652.9338,35508.6489888889,11855.7151888889,0.501236560721651,5118,,0.427315357561547,,-0.850232996042967,
GREATER LONDON,Sales And Customer Service Occupations,Sales Related Occupations,0,1,0,16148,Medium,1.10646501905577,Average,4491.12,1864.46,9288.33,23928.9634,35090.0375471503,11161.0741471503,0.46642530896889,897,15,2.07803790412486,619.222,0.73142413318674,6.42846385136011
GREATER LONDON,Sales And Customer Service Occupations,Customer Service Occupations,0,1,0,15902,Medium,0.710123329080276,Low,8620.14,4147.63,2662.68,21332.0372,26753.4036599671,5421.36645996705,0.25414199352545,1917,56,2.16379760041732,47.5478571428571,0.771864826303774,3.86173672263118
GREATER LONDON,Professional Occupations,Health Professionals,0,0,1,14413,Medium,0.965066007452172,Average,193.33,173.18,9721.98,41023.5289,46441.4592260586,5417.93032605863,0.13206885100659,18,3642,9.61111111111111,2.66309719934102,2.26291983660161,0.979489806105989
GREATER LONDON,Associate Professional And Technical Occupations,"Artistic, Literary and Media Occupations",1,1,1,13391,Medium,2.26875542771245,Very High,3022.98,1695.7,6456.53,28212.7883,35423.4842514706,7210.69595147058,0.255582534941099,5426,2016,0.312569111684482,3.20264384920635,-1.16292967686703,1.16397667156494
GREATER LONDON,Elementary Occupations,Elementary Cleaning Occupations,0,1,0,10766,Medium,0.93062625663452,Average,6359.71,2389.56,1858.66,19313.3307,23851.7298387097,4538.39913870968,0.234987905980903,446,,5.35650224215247,,1.67831119530575,
GREATER LONDON,Administrative And Secretarial Occupations,Administrative Occupations: Records,1,1,0,10257,Medium,1.1309971873692,Average,4226.48,1891.37,3717.89,23147.3893,34411.6207417349,11264.2314417349,0.486630751129021,2648,,0.713746223564955,,-0.33722780900321,
GREATER LONDON,Associate Professional And Technical Occupations,Design Occupations,1,1,1,8553,Medium,2.2845425538342,Very High,1470.77,1396.12,5332.73,24595.9967,34445.9132417819,9849.91654178187,0.400468281969719,2833,1772,0.492763854571126,3.00959367945824,-0.707725216508199,1.10180507943558
GREATER LONDON,Associate Professional And Technical Occupations,"Science, Engineering and Production Technicians",1,1,1,8266,Medium,0.941953822160851,Average,1991.32,3502.96,2331.46,28181.3123,33267.8965158455,5086.58421584554,0.180494937982201,2376,673,1.47390572390572,3.464279346211,0.387915832363259,1.24250463011935
GREATER LONDON,Professional Occupations,Legal Professionals,0,1,0,7614,Medium,1.53521651029763,Very High,460.38,178.22,3561.27,40898.6878,53081.1002352381,12182.4124352381,0.297868051288386,129,160,1.37984496124031,22.2579375,0.321971145930413,3.10269868656814
GREATER LONDON,Skilled Trades Occupations,Construction and Building Trades,1,1,0,7338,Medium,1.16870051557428,Average,1604.63,4618.9,1019.95,,,,,6833,,0.675984194350944,,-0.391585584350173,
GREATER LONDON,Professional Occupations,Welfare Professionals,0,1,1,7292,Medium,1.02563367842921,Average,300.46,607.08,6037.65,33280.8859,45931.3532592593,12650.4673592593,0.380112097895184,445,630,1.36404494382022,9.58357142857143,0.310454508893255,2.26005032298712
GREATER LONDON,Associate Professional And Technical Occupations,Welfare and Housing Associate Professionals,1,1,1,7251,Medium,0.863668337134316,Average,1223.14,2513.62,2842.51,24231.2924,26899.4677378345,2668.17533783455,0.110112795214941,1407,552,1.78678038379531,5.14947463768116,0.580415332035804,1.63889469737131
GREATER LONDON,Elementary Occupations,Elementary Security Occupations,0,1,0,6355,Medium,1.44734886347183,High,2772.77,1571.47,1672.64,21511.4319,31901.3219276316,10389.8900276316,0.482993883249194,451,,3.48558758314856,,1.24863663348647,
GREATER LONDON,"Managers, Directors And Senior Officials",Functional Managers and Directors,0,0,0,6341,Medium,2.12571025336262,Very High,543.52,739.18,4400.13,34628.8564,45424.6009774952,10795.7445774952,0.311755734951017,0,,Inf,,Inf,
GREATER LONDON,Professional Occupations,Media Professionals,0,1,0,6261,Medium,2.92910083890349,Very High,641.53,409.09,4732.39,27670.1303,36499.1688808538,8829.03858085382,0.319081930049813,97,429,4.21649484536082,11.032634032634,1.43900417753942,2.40085761097823
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Proprietors in Other Services,0,1,0,5839,Medium,1.60402712514496,Very High,1476.88,1396.28,2748.51,38660.652,49814.1524638298,11153.5004638298,0.28849747448206,711,,1.9648382559775,,0.675409929453723,
GREATER LONDON,Professional Occupations,Therapy Professionals,0,1,1,5399,Medium,1.31941491283103,High,336.5,208.92,4499.98,31680.9503,35390.4414721311,3709.49117213115,0.117089012072064,264,544,0.791666666666667,8.27205882352941,-0.233614851181505,2.11288342890247
GREATER LONDON,"Process, Plant And Machine Operatives",Process Operatives,0,1,0,5148,Medium,1.00575407122958,Average,1996.65,1196.95,1553.83,28022.1845,37978.6517106464,9956.46721064639,0.355306603974661,357,,3.35014005602241,,1.20900215273094,
GREATER LONDON,Professional Occupations,"Architects, Town Planners and Surveyors",0,1,1,5007,Medium,1.55069453910111,Very High,442.24,1183.91,3091.36,33965.5158,43155.457648326,9189.94184832601,0.270566827320962,597,431,1.98492462311558,7.17252900232019,0.685580940176631,1.97025831240933
GREATER LONDON,Elementary Occupations,Elementary Storage Occupations,0,1,0,4977,Medium,0.672274938909026,Low,2613.71,1374.15,831.07,18500.247,29341.5858670103,10841.3388670103,0.586010493103704,433,,3.17321016166282,,1.15474374477981,
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Directors in Retail and Wholesale,0,0,0,4923,Medium,1.03124989647852,Average,1674.95,929.98,2038.76,27772.7027,32832.6787885986,5059.97608859857,0.182192426255964,0,,Inf,,Inf,
GREATER LONDON,Associate Professional And Technical Occupations,Legal Associate Professionals,1,1,1,4828,Medium,1.1149151028583,Average,1028.57,305.18,2806.38,29406.4,38939.5288852174,9533.12888521739,0.32418551353506,321,622,0.950155763239875,4.5112540192926,-0.0511293465226046,1.50657516792323
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Leisure and Travel Services,0,1,0,4623,Medium,1.43803940178637,High,1511.69,964.66,2090.59,21567.3127,28675.0314342105,7107.71873421053,0.329559775623345,1355,,0.712177121771218,,-0.339428631974815,
GREATER LONDON,Administrative And Secretarial Occupations,Administrative Occupations: Office Managers and Supervisors,1,1,0,4550,Medium,1.48247815889665,High,1125.75,822.51,2402.05,28281.8869,41881.4379621107,13599.5510621107,0.480857274841543,747,,1.10174029451138,,0.0968910155442535,
GREATER LONDON,Associate Professional And Technical Occupations,Health Associate Professionals,1,1,1,4441,Medium,0.841244586119693,Average,441.87,1972.45,1688.23,26342.3,26729.3701051282,387.070105128205,0.0146938613988985,356,406,5.53932584269663,4.15820197044335,1.71187280431055,1.42508276219635
GREATER LONDON,Elementary Occupations,Elementary Administration Occupations,0,1,0,4382,Medium,1.15003342007161,Average,2200.83,1059.61,813.9,21024.4826,28339.5332387097,7315.05063870968,0.347930114518475,348,,3.04597701149425,,1.11382170733164,
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Hairdressers and Related Services,0,1,0,4148,Medium,1.1812606548865,Average,908.49,3185.36,41.21,,,,,4461,,0.714189643577673,,-0.336606744658271,
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Proprietors in Hospitality and Leisure Services,0,1,0,4093,Medium,1.16345159952188,Average,1584.83,1483.21,932.4,22924.7589,29829.3928992064,6904.63399920635,0.301186766208754,1552,,0.956185567010309,,-0.0448032770158386,
GREATER LONDON,Skilled Trades Occupations,Electrical and Electronic Trades,1,1,0,4067,Medium,0.995131823916161,Average,852.86,2122.09,1004.68,28136.3846,36409.666876367,8273.28227636701,0.294042123534486,1715,14,1.23673469387755,71.7628571428571,0.212474594964641,4.27336703221514
GREATER LONDON,Professional Occupations,Engineering Professionals,0,1,1,3985,Medium,0.766416993847981,Low,323.63,1192.56,2238.21,40269.5775,45218.9141947059,4949.33669470587,0.122905106086744,1055,2151,1.13175355450237,1.04044630404463,0.123768248042381,0.03964975960414
GREATER LONDON,"Process, Plant And Machine Operatives",Assemblers and Routine Operatives,0,1,0,3593,Medium,0.806764409468611,Low,1213.52,900.16,1341.07,27323.9928,38583.0658028571,11259.0730028571,0.412058116296134,438,,2.05707762557078,,0.721286347231894,
GREATER LONDON,"Process, Plant And Machine Operatives",Mobile Machine Drivers and Operatives,0,1,0,3472,Medium,0.694814202780532,Low,1877.44,1115.29,441.78,17710.4914,25733.4463018182,8022.95490181818,0.453005776102756,305,,3.65901639344262,,1.29719436633384,
GREATER LONDON,Elementary Occupations,Elementary Construction Occupations,0,1,0,3419,Medium,1.04995314916341,Average,1022.18,1209.84,1105.05,29607.1038,37637.5037586207,8030.39995862068,0.271232202003516,548,,2.20802919708029,,0.79210035164277,
GREATER LONDON,"Process, Plant And Machine Operatives",Construction Operatives,0,1,0,3168,Medium,1.088743506038,Average,1064.95,1780.47,261.45,,,,,587,,3.03577512776831,,1.11046678820266,
GREATER LONDON,Skilled Trades Occupations,Vehicle Trades,1,1,0,3126,Medium,0.606448892663354,Very Low,630.44,2284.29,170.36,,,,,2876,,0.794158553546592,,-0.230472148065037,
GREATER LONDON,Professional Occupations,Quality and Regulatory Professionals,0,1,0,3106,Medium,1.57209056316703,Very High,363.55,610.23,2006.19,33949.683,43604.1576159892,9654.47461598916,0.284375987133345,185,117,3.3027027027027,17.1452991452991,1.19474113409327,2.84172403372412
GREATER LONDON,"Process, Plant And Machine Operatives",Plant and Machine Operatives,0,1,0,3015,Medium,0.906329355787593,Average,840.92,1161.1,858.26,28845.4312,33328.2896066421,4482.85840664207,0.155409651378069,202,,5.75247524752475,,1.74963024001065,
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Housekeeping and Related Services,0,0,0,2957,Medium,1.19200424846184,Average,1054.71,1304.75,531.71,19464.4944,20411.2642,946.769799999998,0.0486408627187356,108,,12.0833333333333,,2.49182709263257,
GREATER LONDON,Associate Professional And Technical Occupations,Protective Service Occupations,1,1,0,2908,Low,2.33311336681216,Very High,814.91,553.89,922.87,,,,,1988,14,0.278672032193159,65.9192857142857,-1.27771970046924,4.18843104989757
GREATER LONDON,Elementary Occupations,Elementary Process Plant Occupations,0,0,0,2896,Low,0.735126777843245,Low,1174.05,1125.5,505.77,19920.8076,30327.2291038462,10406.4215038462,0.522389539259751,66,,17.0454545454545,,2.83588357261209,
GREATER LONDON,Skilled Trades Occupations,"Metal Machining, Fitting and Instrument Making Trades",1,1,0,2550,Low,0.541349623065681,Very Low,567.45,1513.42,409.97,26814.9721,31284.7763495868,4469.80424958678,0.16669061720138,845,,1.7905325443787,,0.582513086431183,
GREATER LONDON,Administrative And Secretarial Occupations,Administrative Occupations: Government and Related Organisations,0,1,0,2299,Low,1.32535601035522,High,825.81,557.28,724.01,24803.506,39839.9644211679,15036.4584211679,0.606223104958141,2744,,0.20298833819242,,-1.59460674891849,
GREATER LONDON,Skilled Trades Occupations,Other Skilled Trades,1,1,0,2281,Low,1.24217125278536,High,1021.26,587.69,564.18,24983.1666,39659.0897123595,14675.9231123595,0.587432463919908,1208,,0.485927152317881,,-0.721696558666663,
GREATER LONDON,Associate Professional And Technical Occupations,Sports and Fitness Occupations,1,1,1,2194,Low,0.90183525353214,Average,698.27,1033.8,399.67,22957.928,40358.799715493,17400.871715493,0.757946087969827,2661,166,0.388575723412251,2.40765060240964,-0.945267215909315,0.878651418251651
GREATER LONDON,Professional Occupations,Natural and Social Science Professionals,0,0,1,2075,Low,1.10973483042745,Average,271.8,90.03,1090.77,34691.706,36853.7692319347,2162.06323193474,0.0623221940118694,1226,635,0.0725938009787928,1.71653543307087,-2.62287574676402,0.5403079763305
GREATER LONDON,Sales And Customer Service Occupations,Customer Service Managers and Supervisors,0,1,0,1690,Low,1.37579780596775,High,317.67,340.19,976.15,28491.673,40919.7001840708,12428.0271840708,0.436198575775834,409,,0.831295843520782,,-0.184769538432595,
GREATER LONDON,"Managers, Directors And Senior Officials",Production Managers and Directors,0,0,0,1616,Low,1.13227360611122,Average,418.63,545.19,623.7,36133.8301,42004.95075408,5871.12065408,0.162482655113829,0,,Inf,,Inf,
GREATER LONDON,Skilled Trades Occupations,Agricultural and Related Trades,1,1,0,1537,Low,1.0887377125151,Average,583.28,571.22,315.43,21480.9826,39472.1089146667,17991.1263146667,0.837537399926327,1263,,0.452098178939034,,-0.793855912694481,
GREATER LONDON,Skilled Trades Occupations,Building Finishing Trades,1,1,0,1384,Low,1.10242365389467,Average,347.58,943.54,79.92,28292.4213,28687.6435294118,395.22222941176,0.0139691907320693,2392,,0.394230769230769,,-0.930818832437065,
GREATER LONDON,Sales And Customer Service Occupations,Sales Supervisors,0,1,1,1340,Low,0.924208683923436,Average,306.36,578.4,427.67,26459.3833,26827.9856300429,368.602330042919,0.0139308738175662,692,111,0.835260115606936,3.85585585585586,-0.180012086945293,1.34959299426946
GREATER LONDON,"Managers, Directors And Senior Officials",Health and Social Services Managers and Directors,0,0,0,1223,Low,1.18563936036202,Average,183.06,256.32,658.37,,,,,0,,Inf,,Inf,
GREATER LONDON,"Process, Plant And Machine Operatives",Other Drivers and Transport Operatives,0,1,0,1184,Low,1.64957037793025,Very High,432.3,271.79,399.29,27484.1759,27780.5109652174,296.335065217394,0.0107820247656541,211,,1.28909952606635,,0.25394393281993,
GREATER LONDON,Associate Professional And Technical Occupations,Draughtspersons and Related Architectural Technicians,1,1,1,1098,Low,0.945109594339567,Average,102.15,476.52,435.27,28186.5333,37137.8106479592,8951.27734795919,0.317572837095195,654,520,0.72782874617737,0.75,-0.317689497225779,-0.287682072451781
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Proprietors in Health and Care Services,0,1,0,1083,Low,0.448773744175724,Very Low,38.02,611.23,380.55,,,,,187,,3.26737967914439,,1.18398834231701,
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Cleaning and Housekeeping Managers and Supervisors,0,1,0,925,Low,1.06134121731985,Average,310.56,386.7,213.72,,,,,164,,2.35975609756098,,0.858558265205585,
GREATER LONDON,Skilled Trades Occupations,Printing Trades,1,1,0,859,Low,1.41497550378093,High,250.66,246.19,303.44,,,,,267,,0.921348314606742,,-0.0819171224678862,
GREATER LONDON,"Caring, Leisure And Other Service Occupations",Animal Care and Control Services,1,1,1,824,Low,0.823679086658428,Low,398.24,255.4,135.89,23131.0033,27784.3367,4653.3334,0.201173003161519,299,135,0.852842809364548,1.00659259259259,-0.159180028232261,0.00657095649397674
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Directors in Transport and Logistics,0,0,0,723,Low,1.18272095582824,Average,252.91,115.91,335.04,30377.4833,40065.5445457627,9688.06124576271,0.31892244495984,0,,Inf,,Inf,
GREATER LONDON,Skilled Trades Occupations,Textiles and Garments Trades,1,1,1,712,Low,1.38865094838,High,242.11,177.42,255.5,29717.2634,32401.345,2684.0816,0.0903206181495165,150,50,1.18,5.11,0.165514438477573,1.63119940421561
GREATER LONDON,Elementary Occupations,Elementary Sales Occupations,0,1,0,682,Low,0.619314719223463,Very Low,394.12,146.67,110.72,18853.7343,20621.68,1767.9457,0.0937716460765017,36,,4.08333333333333,,1.40691364832263,
GREATER LONDON,Skilled Trades Occupations,"Metal Forming, Welding and Related Trades",1,1,0,680,Low,0.325503110060389,Very Low,229.95,302.53,129.08,26667.69,30897.3073802198,4229.61738021978,0.158604565308048,346,,0.875722543352601,,-0.132705969548355,
GREATER LONDON,"Managers, Directors And Senior Officials",Chief Executives and Senior Officials,0,0,0,624,Low,3.7018960513458,Very High,41.86,29.59,415.55,38984.1542,45530.2436258064,6546.08942580645,0.167916671789854,0,,Inf,,Inf,
GREATER LONDON,Professional Occupations,Librarians and Related Professionals,0,0,0,542,Low,1.84156384861966,Very High,99.37,46.18,277.67,21510.8126,23309.4540694915,1798.64146949152,0.083615691463535,92,25,0.5,11.1068,-0.693147180559945,2.4075575333604
GREATER LONDON,Elementary Occupations,Elementary Agricultural Occupations,0,1,0,466,Low,0.772269478066298,Low,174.78,149.51,103.7,24588.4802,26224.859375,1636.379175,0.0665506432967743,108,,1.38888888888889,,0.328504066972037,
GREATER LONDON,Associate Professional And Technical Occupations,Transport Associate Professionals,1,0,1,456,Low,1.58733450029709,Very High,166.49,85.64,142.03,,,,,179,60,0.474860335195531,2.36666666666667,-0.744734549350438,0.861482495379161
GREATER LONDON,Skilled Trades Occupations,"Skilled Metal, Electrical and Electronic Trades Supervisors",1,1,0,382,Low,0.802090809310069,Low,90.95,201.57,77.68,32034.2766,39195.5793434783,7161.30274347826,0.223551255203879,125,,1.616,,0.479953960098904,
GREATER LONDON,Professional Occupations,Research and Development Managers ,0,0,0,332,Low,2.44058949538977,Very High,31.24,67.97,199.79,,,,,15,,4.53333333333333,,1.5114575040739,
GREATER LONDON,Skilled Trades Occupations,Construction and Building Trades Supervisors,1,1,0,313,Low,1.13983898462629,Average,125.3,156,29.22,29963.9806,36116.4423,6152.4617,0.205328583746313,268,,0.582089552238806,,-0.54113097326132,
GREATER LONDON,"Managers, Directors And Senior Officials",Senior Officers in Protective Services,0,0,0,285,Low,1.40350311225991,High,60.64,58.51,141.58,33709.1105,41082.6533,7373.5428,0.218740355074038,0,,Inf,,Inf,
GREATER LONDON,Professional Occupations,Conservation and Environment Professionals,0,0,1,239,Low,1.19185025035243,Average,17.93,14.8,175.91,30942.15,33293.3118357143,2351.16183571429,0.0759857293599277,165,53,0.0909090909090909,3.32075471698113,-2.39789527279837,1.20019208148603
GREATER LONDON,"Managers, Directors And Senior Officials",Financial Institution Managers and Directors,0,0,0,159,Low,2.35228352757841,Very High,14.92,19.1,103.68,29878.3291,52191.3189,22312.9898,0.746795101068754,0,,Inf,,Inf,
GREATER LONDON,Associate Professional And Technical Occupations,Conservation and Environmental Associate Professionals,1,0,0,85,Low,0.693002100709798,Low,21.33,26.51,31.38,22163.8923,27662.3859,5498.4936,0.248083392825366,16,14,1.6875,2.21428571428571,0.523248143764548,0.794929874869886
GREATER LONDON,"Managers, Directors And Senior Officials",Managers and Proprietors in Agriculture Related Services,0,0,0,66,Low,1.2911333256005,High,5.64,33.8,20.58,,30274.0277,,,9,,3.77777777777778,,1.32913594727994,
NORTH EAST ENGLAND,Professional Occupations,Teaching and Educational Professionals,0,1,1,14556,Very High,1.38893042360587,High,2140.21,1496.34,6819.01,32447.4284,34209.0630525813,1761.63465258127,0.0542919651709984,564,954,2.65425531914894,7.14780922431866,0.976164132921571,1.96680590756198
NORTH EAST ENGLAND,Administrative And Secretarial Occupations,Other Administrative Occupations,0,1,0,8003,Very High,0.801757987064951,Low,4480.95,2004.48,1379.21,20590.6757,28567.565647005,7976.88994700503,0.387403019853546,1786,,1.12206047032475,,0.115166700768313,
NORTH EAST ENGLAND,Professional Occupations,Nursing and Midwifery Professionals,0,0,1,7442,Very High,1.0464556578722,Average,0.39,0.41,6056.05,29771.0799,34345.7934940235,4574.71359402348,0.153663004815068,4,1934,0,3.13081695966908,-Inf,1.14129397997395
NORTH EAST ENGLAND,"Caring, Leisure And Other Service Occupations",Caring Personal Services,1,1,0,7281,Very High,0.886918152744711,Average,2397.56,3886.85,906.25,20600.0565,21400.7014842391,800.64498423913,0.0388661547719119,1449,23,2.68253968253968,39.4021739130435,0.98676398853154,3.67382099023973
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,"Sales, Marketing and Related Associate Professionals",1,1,1,6856,Very High,0.630110092682025,Very Low,1469.96,796.08,4360.37,29964.9858,38098.1842051131,8133.19840511306,0.271423402613895,722,648,1.10249307479224,6.72685185185185,0.0975740469515533,1.90610725588612
NORTH EAST ENGLAND,Sales And Customer Service Occupations,Customer Service Occupations,0,1,0,5922,Very High,0.971097747982188,Average,3236.37,1506.15,1015.15,21332.0372,26753.4036599671,5421.36645996705,0.25414199352545,675,17,2.23111111111111,59.7147058823529,0.802499717487309,4.08957831975203
NORTH EAST ENGLAND,Sales And Customer Service Occupations,Sales Assistants and Retail Cashiers,0,1,0,5466,Very High,0.903853401865201,Average,2556.47,1333.52,1425.82,22731.8923,36312.5928828265,13580.7005828265,0.597429391429348,1648,,0.808859223300971,,-0.212130390290708,
NORTH EAST ENGLAND,"Caring, Leisure And Other Service Occupations",Childcare and Related Personal Services,1,1,1,4450,High,0.985022763476333,Average,1756.96,1742.25,738.37,21462.318,23068.2189012668,1605.9009012668,0.074824205906687,2042,154,0.853085210577865,4.79461038961039,-0.158895841312163,1.56749245156396
NORTH EAST ENGLAND,Professional Occupations,Health Professionals,0,0,1,4402,High,1.0823436735104,Average,53.08,46.92,3043.01,41023.5289,46441.4592260586,5417.93032605863,0.13206885100659,2,872,23.5,3.40366972477064,3.15700042115011,1.22485418037829
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,Public Services and Other Associate Professionals,1,1,0,4131,High,0.851194959570798,Average,1028.36,890.32,2067.16,30399.0708,39356.5276740072,8957.45687400722,0.294662193227538,517,186,1.72340425531915,11.1182795698925,0.544301552962381,2.40859056191512
NORTH EAST ENGLAND,Professional Occupations,Information Technology and Telecommunications Professionals,0,1,1,3893,High,0.475534072614228,Very Low,372.95,342.1,2977.69,43356.3316,51403.9853803612,8047.65378036118,0.185616575096985,2351,704,0.145895363675032,4.13210227272727,-1.92486560137413,1.41878630233716
NORTH EAST ENGLAND,Elementary Occupations,Other Elementary Services Occupations,0,1,0,3514,High,0.810861251680145,Low,1670.58,1449.66,318.21,21254.0125,22038.4099655172,784.397465517239,0.0369058532132339,1558,,0.930680359435173,,-0.0718393910160738,
NORTH EAST ENGLAND,Skilled Trades Occupations,Food Preparation and Hospitality Trades,1,1,0,3224,High,0.726589637110837,Low,1189.12,1959.82,63.18,,,,,1977,6,0.990389479008599,10.53,-0.00965700008016113,2.35422832614588
NORTH EAST ENGLAND,Sales And Customer Service Occupations,Sales Related Occupations,0,1,0,3221,High,0.810442457843319,Low,944.52,374.82,1804.33,23928.9634,35090.0375471503,11161.0741471503,0.46642530896889,225,5,1.66222222222222,360.866,0.50815539521011,5.88850669828866
NORTH EAST ENGLAND,"Process, Plant And Machine Operatives",Road Transport Drivers,0,1,0,3091,High,0.516953914408217,Very Low,1366.39,1018.5,548.95,22586.2561,23503.4902866397,917.234186639678,0.0406102801003695,469,,2.17057569296375,,0.774992428664187,
NORTH EAST ENGLAND,Elementary Occupations,Elementary Cleaning Occupations,0,1,0,3055,High,0.96971620518278,Average,1813.78,666.44,528.68,19313.3307,23851.7298387097,4538.39913870968,0.234987905980903,222,,3,,1.09861228866811,
NORTH EAST ENGLAND,Professional Occupations,Welfare Professionals,0,1,1,2524,High,1.30360937915829,High,88.26,193.3,2138.71,33280.8859,45931.3532592593,12650.4673592593,0.380112097895184,182,347,1.06593406593407,6.0806916426513,0.0638514719865365,1.80511844652325
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,Information Technology Technicians,1,1,1,2508,Medium,0.652675687346265,Very Low,802.32,516.3,1123.5,30464.4601,38482.9697183184,8018.50961831842,0.263208656644416,1198,145,0.430717863105175,7.7448275862069,-0.842302013193833,2.04702521231787
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,"Science, Engineering and Production Technicians",1,1,1,2390,Medium,1.00010275894399,Average,545.75,1140.91,596.04,28181.3123,33267.8965158455,5086.58421584554,0.180494937982201,1147,255,0.993897122929381,2.28627450980392,-0.0061215757408295,0.826923641192066
NORTH EAST ENGLAND,Administrative And Secretarial Occupations,Administrative Occupations: Finance,1,1,0,2373,Medium,0.597352094290058,Very Low,1168.97,305.86,789.39,23652.9338,35508.6489888889,11855.7151888889,0.501236560721651,1021,,0.299706170421156,,-1.20495271621228,
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,Welfare and Housing Associate Professionals,1,1,1,2371,Medium,1.03703439266809,Average,369.18,844.55,923.67,24231.2924,26899.4677378345,2668.17533783455,0.110112795214941,442,216,1.91176470588235,4.27625,0.648026745279474,1.45307645730968
NORTH EAST ENGLAND,Administrative And Secretarial Occupations,Secretarial and Related Occupations,1,1,0,2343,Medium,0.613637488187616,Very Low,1405.94,533.79,342.73,22732.7052,26026.8058737075,3294.10067370753,0.144905792985321,1025,,0.520975609756098,,-0.652052052612313,
NORTH EAST ENGLAND,Associate Professional And Technical Occupations,"Business, Finance and Related Associate Professionals",1,1,1,2314,Medium,0.485396448024763,Very Low,417.57,418.83,1282.01,33766.2658,46831.2324368724,13064.9666368724,0.386923644866659,459,477,0.915032679738562,2.68765199161426,-0.0887954987831313,0.988667946873864
NORTH EAST ENGLAND,Administrative And Secretarial Occupations,Administrative Occupations: Records,1,1,0,1669,Medium,0.675787288870965,Low,677.52,316.08,606.18,23147.3893,34411.6207417349,11264.2314417349,0.486630751129021,795,,0.39748427672956,,-0.922599901067419,
NORTH EAST ENGLAND,Skilled Trades Occupations,"Metal Machining, Fitting and Instrument Making Trades",1,1,0,1500,Medium,1.16934168013872,Average,351.26,912.32,206.04,26814.9721,31284.7763495868,4469.80424958678,0.16669061720138,884,,1.0316742081448,,0.0311829274366915,
NORTH EAST ENGLAND,Professional Occupations,"Business, Research and Administrative Professionals",0,0,1,1438,Medium,0.393251889229289,Very Low,55.09,26.05,1104.41,38392.6375,49310.5429158434,10917.9054158434,0.284374977255559,130,404,0.2,2.73267326732673,-1.6094379124341,1.00528034887589
NORTH EAST ENGLAND,Skilled Trades Occupations,Construction and Building Trades,1,1,0,1403,Medium,0.820532357241621,Low,301.5,916.39,168.76,,,,,3563,,0.257367387033399,,-1.35725069334937,
NORTH EAST ENGLAND,Elementary Occupations,Elementary Storage Occupations,0,1,0,1298,Medium,0.643822998331571,Very Low,681.65,358.38,216.74,18500.247,29341.5858670103,10841.3388670103,0.586010493103704,252,,1.42063492063492,,0.351103898889277,
