nation_region,soc3,soc_name,working_futures_projection
Northern Ireland,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,231,Teaching and Educational Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,241,Legal Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,244,Welfare Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,245,Librarians and Related Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,247,Media Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,313,Information Technology Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,321,Health Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,331,Protective Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,342,Design Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,344,Sports and Fitness Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,351,Transport Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,352,Legal Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,412,Administrative Occupations: Finance,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,413,Administrative Occupations: Records,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,421,Secretarial and Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,511,Agricultural and Related Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,523,Vehicle Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,524,Electrical and Electronic Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,531,Construction and Building Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,532,Building Finishing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,541,Textiles and Garments Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,542,Printing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,544,Other Skilled Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,612,Childcare and Related Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,613,Animal Care and Control Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,614,Caring Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,621,Leisure and Travel Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,622,Hairdressers and Related Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,712,Sales Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Northern Ireland,713,Sales Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Northern Ireland,721,Customer Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Northern Ireland,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,222,Therapy Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,231,Teaching and Educational Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,241,Legal Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,244,Welfare Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,245,Librarians and Related Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,247,Media Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,313,Information Technology Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,321,Health Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,331,Protective Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,342,Design Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,344,Sports and Fitness Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,351,Transport Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,352,Legal Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,412,Administrative Occupations: Finance,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,413,Administrative Occupations: Records,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,421,Secretarial and Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,511,Agricultural and Related Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,523,Vehicle Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,524,Electrical and Electronic Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,531,Construction and Building Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,532,Building Finishing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,541,Textiles and Garments Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,542,Printing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,544,Other Skilled Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,612,Childcare and Related Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,613,Animal Care and Control Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,614,Caring Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,621,Leisure and Travel Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,622,Hairdressers and Related Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,712,Sales Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Scotland,713,Sales Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Scotland,721,Customer Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Scotland,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,222,Therapy Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,231,Teaching and Educational Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,241,Legal Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,244,Welfare Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,245,Librarians and Related Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,247,Media Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,313,Information Technology Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,321,Health Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,331,Protective Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,342,Design Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,344,Sports and Fitness Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,351,Transport Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,352,Legal Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,412,Administrative Occupations: Finance,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,413,Administrative Occupations: Records,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,421,Secretarial and Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,511,Agricultural and Related Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,523,Vehicle Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,524,Electrical and Electronic Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,531,Construction and Building Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,532,Building Finishing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,541,Textiles and Garments Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,542,Printing Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,544,Other Skilled Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,612,Childcare and Related Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,613,Animal Care and Control Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,614,Caring Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,621,Leisure and Travel Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,622,Hairdressers and Related Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,712,Sales Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South East,713,Sales Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South East,721,Customer Service Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South East,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,222,Therapy Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,231,Teaching and Educational Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,241,Legal Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,244,Welfare Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,245,Librarians and Related Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,247,Media Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,313,Information Technology Technicians,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,321,Health Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,331,Protective Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,342,Design Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,344,Sports and Fitness Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,351,Transport Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,352,Legal Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,412,Administrative Occupations: Finance,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,413,Administrative Occupations: Records,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,421,Secretarial and Related Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,511,Agricultural and Related Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,523,Vehicle Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,524,Electrical and Electronic Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,531,Construction and Building Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,532,Building Finishing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,541,Textiles and Garments Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,542,Printing Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,544,Other Skilled Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,612,Childcare and Related Personal Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,613,Animal Care and Control Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,614,Caring Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,621,Leisure and Travel Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,622,Hairdressers and Related Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,712,Sales Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
South West,713,Sales Supervisors,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
South West,721,Customer Service Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
South West,722,Customer Service Managers and Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,222,Therapy Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,231,Teaching and Educational Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,241,Legal Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,244,Welfare Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,245,Librarians and Related Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,247,Media Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,313,Information Technology Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,321,Health Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,331,Protective Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,342,Design Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,344,Sports and Fitness Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,351,Transport Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,352,Legal Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,412,Administrative Occupations: Finance,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,413,Administrative Occupations: Records,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,421,Secretarial and Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,511,Agricultural and Related Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,523,Vehicle Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,524,Electrical and Electronic Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,525,"Skilled Metal, Electrical and Electronic Trades Supervisors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,531,Construction and Building Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,532,Building Finishing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,533,Construction and Building Trades Supervisors,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,541,Textiles and Garments Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,542,Printing Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,543,Food Preparation and Hospitality Trades,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,544,Other Skilled Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,612,Childcare and Related Personal Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,613,Animal Care and Control Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,614,Caring Personal Services,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,621,Leisure and Travel Services,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
Wales,622,Hairdressers and Related Services,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
Wales,711,Sales Assistants and Retail Cashiers,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
Wales,712,Sales Related Occupations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
